Grid_ID,Lat,Lon,Richness,Continent,TEMPR,PREC,TEMP,AREA,PERIMETER,Hw,TEMPLGM,PRECLGM,ALTR,ALTM,MDE,HII
176,-43.4840012,-73.5,66,South America,14.00418043,2495.542256,9.288754385,0.003797581,2.806444292,0.021165404,-6.278709204,35.88729167,525,109.0871795,77.33,11.21926105
177,-43.4840012,-72.5,87,South America,17.7842876,1946.66796,7.394206083,0.028308335,9.987606326,0.253926126,-5.902888019,208.3589583,1694,658.9345133,79.46,2.769006912
178,-43.4840012,-71.5,91,South America,22.12562502,878.8293056,6.761082465,0.031071145,8.343006546,0.107862726,-5.468428529,99.45506944,1321,980.0659722,78.96,7.061944444
179,-43.4840012,-70.5,53,South America,25.67101391,295.7718056,8.12837645,0.004274578,2.419611436,0.023318123,-5.129954001,34.471875,929,909.5364583,75.67,6.113194444
181,-43.4840012,-68.5,51,South America,27.59389582,189.4372222,11.31668171,0.00034175,0.427500007,0.002727654,-4.45693056,23.80833333,1025,520.7760417,24.79,5.024861111
182,-43.4840012,-67.5,51,South America,27.34088885,198.3363194,12.55240075,0.00012375,0.310500002,0.001113409,-4.17286168,29.67854167,745,293.5590278,30.05,5.305208333
183,-43.4840012,-66.5,52,South America,26.81188876,189.4981944,12.82114786,0.019646164,9.952156826,0.062507909,-3.929685773,35.15701389,384,218.828125,42.11,6.515694444
184,-43.4840012,-65.5,55,South America,26.25106683,194.0375455,12.87566194,0.002171313,1.418499991,0.013315408,-3.75716666,37.07076389,306,158.5406504,42.1,12.05680219
196,-42.4840012,-74.5,67,South America,12.75511975,2160.971982,8.676254468,0.001233813,0.474500005,0.00826364,-4.741214128,-15.70305556,715,193.2336449,75.09,13.11747851
197,-42.4840012,-73.5,68,South America,13.45532988,2257.317475,9.946340533,0.007112503,2.979111437,0.035177735,-5.014585641,-67.523125,705,127.8697917,80.5,17.94665766
198,-42.4840012,-72.5,93,South America,18.50319665,1815.965993,7.228200708,0.007773687,5.149554,0.037756883,-5.182815386,-0.681180556,2050,712.5906183,83.7,4.432299692
199,-42.4840012,-71.5,112,South America,23.12706252,899.1445833,6.881057581,0.031056862,10.30979103,0.105145482,-4.669301792,26.77194444,1640,1022.038194,82.09,7.229861111
200,-42.4840012,-70.5,89,South America,26.87815276,358.6261111,8.88845168,0.0002075,0.132499998,0.001759679,-4.383337672,11.96798611,927,830.7065972,77.88,7.620486111
203,-42.4840012,-67.5,83,South America,28.23341668,193.3546528,10.42938889,0.002006271,1.659444247,0.012461906,-3.717245051,17.76097222,1336,782,29.96,2.53375
205,-42.4840012,-65.5,84,South America,27.27254336,194.9155935,13.54324929,0.003754937,3.095000001,0.020970138,-3.294001468,19.86284722,374,157.9495652,58.05,10.45173718
218,-41.4840012,-73.5,70,South America,15.28452474,1851.220149,10.29802714,0.0020805,1.2095,0.012847394,-3.97871238,-142.2509722,801,113.6423983,83.98,20.83513409
219,-41.4840012,-72.5,77,South America,19.18065504,2092.003872,8.925528732,0.117788556,8.746444252,0.251933721,-4.334523441,-198.2236806,1771,542.2865169,87.39,11.31102362
220,-41.4840012,-71.5,118,South America,23.04461806,1082.667917,6.389383971,0.044944668,9.514582092,0.139432884,-3.87663715,-51.34833333,2124,1179.208333,88.19,13.53506944
226,-41.4840012,-65.5,74,South America,27.93254946,227.0450915,13.66195253,0.0028295,2.669499996,0.016602531,-2.919117192,5.453125,518,250.9981516,79.34,7.224554756
229,-41.4840012,-62.5,218,South America,25.94182855,359.8060942,14.10040399,0.000521234,0.141965014,0.241244496,-2.060199926,2.445555556,38,15.82352941,70.08,18.85675676
241,-40.4840012,-73.5,75,South America,16.66554467,1638.406171,9.932056036,0.001935045,1.638629897,0.224422557,-3.667785871,-197.2035417,915,254.0021231,86.69,19.63061684
242,-40.4840012,-72.5,71,South America,20.12026387,1930.841736,10.08201245,0.094062569,7.951055705,0.222344639,-3.730746241,-218.4590278,1649,423.6961806,91.24,17.191875
243,-40.4840012,-71.5,117,South America,22.81575693,1186.793056,6.776041378,0.06414725,13.64171759,0.176185173,-3.410953993,-115.3130556,1608,1207.102431,92.2,10.01701389
244,-40.4840012,-70.5,92,South America,27.18843748,478.5522222,9.454042538,0.056583521,11.13576065,0.44947453,-3.291471638,-38.84708333,876,899.0260417,89.26,8.368055556
248,-40.4840012,-66.5,75,South America,30.48063885,255.0417361,14.22224334,0.005379625,2.71849999,0.028109276,-2.893134553,-3.820972222,711,294.3333333,92.1,4.454791667
250,-40.4840012,-64.5,74,South America,29.35363017,272.29033,14.74978286,0.009081364,3.646966858,-1.666362629,-2.258070592,-13.46270833,186,85.22787194,88.41,10.65434009
251,-40.4840012,-63.5,220,South America,28.51340966,320.4063194,14.63722135,0.014258744,4.92196124,-3.400468625,-1.847484964,-19.85673611,89,48.97395833,89.45,10.71194444
252,-40.4840012,-62.5,222,South America,26.91956669,383.5758038,14.21776219,0.012149007,5.150761044,0.302350179,-1.710541074,-33.64902778,54,18.57590361,78.59,11.47329127
266,-39.4840012,-73.5,90,South America,17.97298767,1982.496854,11.24624105,0.000344563,0.570499989,0.002747278,-3.48329311,-196.02,536,127.0412844,89.2,22.85655914
267,-39.4840012,-72.5,85,South America,20.36470837,2170.264167,10.56569937,0.054108625,5.905444261,0.157821963,-3.46058998,-214.2115972,1947,326.1128472,95.12,21.09194444
268,-39.4840012,-71.5,109,South America,23.39558333,1327.185556,7.408704861,0.034676758,8.412055706,0.11657236,-3.415665507,-141.4813889,2254,1176.039931,97.53,10.92375
269,-39.4840012,-70.5,55,South America,27.27049306,429.7311806,8.944437791,0.003451861,2.078944286,0.019568053,-3.120986111,-35.87423611,1871,1142.078125,98.51,5.876458333
271,-39.4840012,-68.5,88,South America,30.58128472,185.5947222,12.75164497,0.050965257,8.145589238,0.148478669,-3.0292442,-11.73965278,655,584.5364583,94.99,7.433472222
272,-39.4840012,-67.5,74,South America,31.64964577,229.4609722,14.36428211,0.001736312,0.867500003,0.011035988,-2.931565412,-7.892222222,598,340.5052083,96.67,8.267361111
273,-39.4840012,-66.5,76,South America,31.62602775,310.4442361,15.10659751,0.007313375,1.686000004,0.035967547,-2.735557613,-8.038888889,285,236.4809028,100.87,8.312569444
274,-39.4840012,-65.5,73,South America,31.45222218,292.2794444,15.19219213,0.00072225,1.375999975,0.005224135,-2.452756706,-13.30319444,146,165.1753472,96.68,8.883402778
275,-39.4840012,-64.5,91,South America,31.36615271,299.1848611,15.09798959,0.001188562,1.166499989,0.008004981,-2.094740406,-21.21458333,125,121.9565972,100.29,6.683611111
277,-39.4840012,-62.5,198,South America,28.30444339,444.1597251,14.78444107,0.007335437,5.970999996,0.036053956,-1.593701911,-46.92555556,58,13.73887814,100.9,11.64024752
290,-38.4840012,-73.5,70,South America,18.69040527,1268.830155,11.33487845,0.004955144,2.697332854,0.02629858,-3.579449661,-138.0598611,780,246.8231293,91.93,19.19390788
291,-38.4840012,-72.5,78,South America,21.92708333,1426.194792,11.38125782,0.000655813,1.050555734,0.004806869,-3.45109897,-145.0877778,774,268.8732639,97.79,22.57409722
292,-38.4840012,-71.5,98,South America,24.66547221,1688.402014,7.764654807,0.01475726,4.959232008,0.062216904,-3.357921878,-123.585,1843,1254.461806,101.7,14.62340278
293,-38.4840012,-70.5,81,South America,28.14123611,525.2961111,9.173710646,0.001532827,1.475555708,0.0099337,-3.177515325,-35.70861111,1689,1296.991319,101.29,5.901111111
294,-38.4840012,-69.5,55,South America,30.10914586,166.0005556,12.70167419,0.000918,0.702499999,0.006419862,-3.097685462,-13.55895833,1109,717.3680556,104.93,11.20618056
295,-38.4840012,-68.5,96,South America,31.47582642,221.75625,14.09175897,0.08327133,10.29022995,0.188895673,-3.024665226,-13.98923611,586,441.5052083,99.75,15.56673611
296,-38.4840012,-67.5,97,South America,32.68752078,250.5163889,14.75789294,0.041092272,4.974170542,0.131163869,-2.923416375,-11.66569444,323,352.765625,100.14,14.918125
298,-38.4840012,-65.5,90,South America,32.7206875,338.8447917,15.29247627,0.021343675,5.756609896,0.082109114,-2.434644947,-19.89645833,250,224.6336806,107.5,8.109583333
300,-38.4840012,-63.5,203,South America,30.92198618,484.5765278,15.27024276,0.029023692,9.807832851,0.102733504,-1.724841131,-47.62680556,262,84.74652778,110.83,7.934513889
301,-38.4840012,-62.5,211,South America,29.16759513,663.3728838,14.71314781,0.009807596,3.781332784,0.045356188,-1.560770839,-64.93006944,725,133.4840989,109.65,14.82594429
302,-38.4840012,-61.5,204,South America,27.3045655,764.7558813,14.05527197,0.011642,6.116000003,0.05184341,-1.616178817,-87.88902778,736,181.3368056,109.03,15.18750871
303,-38.4840012,-60.5,201,South America,26.19212159,784.1237828,14.09592523,0.013764629,14.68260999,0.058990424,-1.792370361,-99.79729167,199,102.8133087,105.35,18.1785556
304,-38.4840012,-59.5,197,South America,25.012614,809.8220767,14.00241142,0.012754214,14.23327703,0.055632523,-1.91642766,-110.4876389,191,81.58758315,101.45,17.52740517
305,-38.4840012,-58.5,199,South America,24.03129251,860.9328713,14.06757153,0.002226812,3.543000012,0.013599554,-1.821795462,-128.8904861,145,53.78481013,95.56,18.17379027
